Объем,Бренд,Цена со скидкой,Цена,Тип вина,Цвет,Сахар,Страна производителя,Регион,Аппелласьон,Производитель,Категория,Бренд / Серия,Сорт винограда,Выдержка в ёмкости,Содержание алкоголя,Количество в упаковке,Температура подачи,Friendly,BiO,Винтаж,Субрегион,Выдержка,Подарочная упаковка 0.75,Chateau Pinot,580₽,725₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Новороссийск ЗГУ,Chateau Pinot,ЗГУ,Chateau PinotГравитация,Пино нуарСаперави,Стальной чан,13%,6,16-18 
0.75,Familles Jegerlehner et Prataviera,1 230₽,1 538₽,Тихое,Красное,Сухое,Франция,Юго-Запад,Cotes de Gascogne IGT,Familles Jegerlehner et Prataviera,IGT/IGP,Haut Marin,МерлоКаберне совиньон,Стальной чан,13.5%,6,16-18,,,,Кот де Гасконь,,
0.75,Venica & Venica,7 249₽,7 249₽,Тихое,Белое,Полусухое,Италия,Фриули-Венеция-Джулия,Collio DOC,Venica & Venica,DOC/DOP,,Гевюрцтраминер,Стальной чан,13%,6,10-12,,,2022,Коллио,,
0.75,,220 681₽,220 681₽,Тихое,Красное,Сухое,Франция,Бордо,Saint-Emilion Grand Cru AOC,Chateau Angelus,AOC/AOP,,МерлоКаберне франКаберне совиньон,Бочка,,12,16-18,,,2005,Сент-Эмильон,,
1.5,Domaine Roy,38 722₽,38 722₽,Тихое,Белое,Сухое,Франция,Бургундия,Chablis Grand Cru AOС,Domaine Roy,AOC/AOP,,Шардоне,Стальной чан,13%,6,10-12,,,2018,Шабли,,
0.75,,109 262₽,109 262₽,Тихое,Красное,Сухое,Франция,Бордо,Pauillac AOC,Chateau Pontet-Canet,AOC/AOP,Chateau Pontet-Canet,Каберне совиньонМерлоКаберне франПти вердо,Бочка,14.5%,12,16-18,,Organic,2010,Пойяк,,
0.75,Caviro,1 087₽,1 087₽,Тихое,Красное,Полусладкое,Италия,,,Caviro,,,СанджовезеМонтепульчано,,10.5%,6,16-18,,,,,,
0.75,Alpha Estate,2 054₽,2 568₽,Тихое,Красное,Сухое,Греция,Македония,Florina PGI,Alpha Estate,PGI,Alpha EstateAxia,СираКсиномавро,Бочка,13.5% - 14%,6,16-18,,,,Флорина,,
0.75,Isole e Olena,19 962₽,19 962₽,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Isole e Olena,IGT/IGP,,Санджовезе,Бочка,15%,6,18-20,,,,,,
0.75,Tenuta Mordini,9 394₽,9 394₽,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Tenuta Mordini,IGT/IGP,,Сира,Бочка,13.5%,6,14-16,,Organic,2018,,,
0.75,Aromo,892₽,1 115₽,Тихое,Красное,Полусухое,Чили,Центральная долина,Secano Interior DO,Aromo,DO,,Паис,Стальной чан,13.5%,6,16-18,,,,Мауле,,
0.75,Angelo Rocca е Figli,2 274₽,2 842₽,Тихое,Красное,Сухое,Италия,Апулия,Salento IGT,Angelo Rocca e Figli,IGT/IGP,Angelo Rocca E FigliTorri d'Oro,Сузуманьелло,Стальной чан,15%,6,16-18,,,,Саленто,,
0.75,,5 088₽,5 088₽,Тихое,Красное,Сухое,Италия,Пьемонт,Dolcetto d'Alba DOC,Marchesi di Barolo,DOC/DOP,,Дольчетто,,13%,6,16-18,,,2022,Альба,,
0.75,Chateau Quinault l’Enclos,11 874₽,11 874₽,Тихое,Красное,Сухое,Франция,Бордо,Saint-Emilion Grand Cru AOC,Chateau Quinault l’Enclos,AOC/AOP,Chateau Quinault L'Enclos,МерлоКаберне совиньонКаберне фран,Бочка,13%,6,16-18,,Organic,2014,Сент-Эмильон,,
0.75,,193 935₽,193 935₽,Тихое,Красное,Сухое,Франция,Бордо,Margaux AOC,Chateau Margaux,AOC/AOP,Chateau Margaux,Каберне совиньонКаберне франПти вердо,Бочка,13%,6,16-18,,Organic,2013,Марго,,
0.75,Guilleraut-Fargette,7 506₽,7 506₽,Тихое,Красное,Сухое,Франция,Долина Луары,Sancerre AOC,Guilleraut-Fargette,AOC/AOP,,Пино нуар,Бочка,14.5%,12,14-16,Sustainable,,2020,Сансер,,
0.75,Jermann,5 563₽,5 563₽,Тихое,Белое,Полусухое,Италия,Фриули-Венеция-Джулия,Venezia Giulia IGT,Jermann,IGT/IGP,,Рислинг,Стальной чан,13%,6,8-10,,,,,,
0.75,Caviro,1 256₽,1 256₽,Тихое,Белое,Полусладкое,Италия,,,Caviro,,,ТреббьяноКатарратто,,10.5%,6,10-12,,,,,,
0.75,,1 087₽,1 087₽,Тихое,Белое,Полусухое,Австралия,Юго-Восточная Австралия,South Australia GI,Hardy’s,GI,Hardys Legacy,ШардонеКоломбар,,13%,6,8-10,,,,,,
0.75,,1 160₽,1 450₽,Тихое,Красное,Сухое,Россия,Краснодарский край,,Абрау-Дюрсо,,Абрау-Дюрсо,Пино нуар,Бочка,13%,6,16-18,,,,,,
0.75,Interfin,530₽,663₽,Тихое,Белое,Сухое,Россия,Крым,,Interfin,,,Совиньон блан,Стальной чан,11.00% - 13%,6,10-12,,,,,,
0.75,,16 600₽,16 600₽,Тихое,Красное,Сухое,Чили,Центральная долина,Puente Alto DO,Almaviva,DO,,Каберне совиньонКарменерМерлоКаберне фран,Бочка,15%,6,16-18,,,2020,Майпо,,
0.75,,2 613₽,2 613₽,Тихое,Белое,Сухое,Франция,,,Chateau Croix de Labrie,,,Шардоне,Стальной чан,13.5%,6,8-10,,,2022,,,
0.75,Askaneli,1 227₽,1 227₽,Тихое,Красное,Сухое,Грузия,Кахетия,,Askaneli,,Artwine,Саперави,Стальной чан,13%,6,16-18,,,2021,,,
0.75,,1 393₽,1 393₽,Тихое,Красное,Полусухое,Австралия,Юго-Восточная Австралия,South Eastern Australia GI,Hardy’s,GI,Stamp,Каберне совиньонМерло,,13.5%,6,16-18,,,2021,,,
0.75,,58 561₽,58 561₽,Тихое,Красное,Сухое,Франция,Бордо,Saint-Emilion Grand Cru AOC,Chateau Canon,AOC/AOP,,МерлоКаберне фран,Бочка,15%,12,16-18,,,2010,Сент-Эмильон,,
0.75,Caviro,1 317₽,1 317₽,,Белое,Сухое,Италия,,,Caviro,,,ТреббьяноКатарратто,,11%,6,10-12,,,,,,
0.75,Gerhard Markowitsch,6 837₽,8 546₽,Тихое,Красное,Сухое,Австрия,Нижняя Австрия,Carnuntum DAC,Gerhard Markowitsch,DAC,,ЦвайгельтМерлоБлауфранкиш,Бочка,14%,6,16-18,,,,,,
0.75,Luis Felipe Edwards,2 815₽,3 519₽,Тихое,Красное,Сухое,Чили,Центральная долина,Colchagua Valley DO,Luis Felipe Edwards,DO,,Каберне совиньонКарменерПти вердоКаберне фран,Бочка,14%,6,16-18,,,,Кольчагуа,,
0.75,,7 980₽,7 980₽,Тихое,Белое,Сухое,Франция,Бургундия,Chablis 1er Cru AOС,Maison Olivier Tricon,AOC/AOP,,Шардоне,Стальной чан,13%,6,10-12,,,2021,Шабли,,
0.75,Jermann,5 367₽,5 367₽,Тихое,Белое,Сухое,Италия,Фриули-Венеция-Джулия,Venezia Giulia IGT,Jermann,IGT/IGP,,Шардоне,Стальной чан,13%,6,10-12,,,,,,
0.75,Angelo Rocca е Figli,1 980₽,2 475₽,Тихое,Красное,Сухое,Италия,Апулия,Salento IGT,Angelo Rocca e Figli,IGT/IGP,Angelo Rocca E FigliTorri d'Oro,Негроамаро,Бочка,14%,6,16-18,,,,Саленто,,
1.5,,14 287₽,14 287₽,Тихое,Красное,Сухое,Россия,Крым,,Сатера,,Oleg Repin,Каберне совиньон,Бочка,12.5% - 14.5%,3,16-18,,,2021,,,
0.75,Piccini,1 416₽,1 770₽,Тихое,Красное,Сухое,Италия,Тоскана,Chianti DOCG,Piccini,DOCG,,Санджовезе,Бочка,,6,16-18,,,,Кьянти,,
0.75,,1 597₽,1 597₽,Тихое,Белое,Сухое,Италия,Венето,Delle Venezie DOC,Villa Degli Olmi,DOC/DOP,Gatto Matto,Пино гриджо,,11.5%,6,10-12,,,2023,,,
0.75,Weingut Heninger,2 000₽,2 000₽,Тихое,Белое,Сухое,Австрия,Нижняя Австрия,Niederosterreich,Weingut Heninger,,,Грюнер вельтлинер,Стальной чан,12.5%,6,8-10,,,,,,
0.75,,1 372₽,1 372₽,,Белое,Сухое,Испания,Кастилия-Ла-Манча,La Mancha DO,Bodegas Fernando Castro,DO,,Айрен,,11.5%,6,8-10,,,2021,,,
0.7,Olymp Winery,419₽,419₽,,Красное,Сухое,Россия,,,Olymp Winery,,,МолдоваКаберне совиньонМерло,,10% - 12%,6,16-18,,,,,,
0.75,Vignobles Lassagne,2 580₽,3 225₽,Тихое,Красное,Сухое,Франция,Бордо,Lussac Saint-Emilion AOC,Vignobles Lassagne,AOC/AOP,,Мерло,Бочка,14%,6,16-18,,,,Сент-Эмильон,,
0.75,,10 990₽,10 990₽,Тихое,Красное,Сухое,Италия,Пьемонт,Barolo DOCG,Batasiolo,DOCG,,Неббиоло,Бочка,14.5%,6,16-18,,,2016,Бароло,12 месяцев в бочке,
0.75,Sainte Neige,5 325₽,6 656₽,Тихое,Белое,Сухое,Япония,,,Sainte Neige,,,Совиньон блан,Стальной чан,12.5%,12,10-12,,,,,,
0.75,Chateau Moulin-Borie,3 825₽,3 825₽,Тихое,Красное,Сухое,Франция,Бордо,Listrac-Medoc AOC,Chateau Moulin-Borie,AOC/AOP,Chateau Fourcas-Borie,Каберне совиньонМерлоПти вердо,Бочка,13.5%,6,16-18,,,2015,Листрак-Медок,,
0.75,,36 838₽,36 838₽,Тихое,Белое,Сухое,Франция,Бургундия,Meursault AOС,Philippe Pacalet,AOC/AOP,,Шардоне,Бочка,13%,12,10-12,,Natural/raw,2021,Мерсо,,
0.187,Olymp Winery,226₽,226₽,,Красное,Сухое,Россия,Краснодарский край,Кубань ЗГУ,Olymp Winery,ЗГУ,Adagum,Каберне совиньон,,11% - 12%,24,14-16,,,,Кубань,,
0.75,Los Haroldos,724₽,724₽,Тихое,Белое,Сухое,Аргентина,Мендоса,Mendoza,Los Haroldos,,,Шардоне,Стальной чан,12%,6,8-10,,,2023,,,
0.75,Tiefenbrunner,3 285₽,4 106₽,Тихое,Белое,Сухое,Италия,Трентино-Альто-Адидже,Alto-Adige DOC,Tiefenbrunner,DOC/DOP,,Гевюрцтраминер,Стальной чан,14%,6,10-12,,,,Альто Адидже,,
0.7,Olymp Winery,419₽,419₽,Тихое,Белое,Полусладкое,Россия,,,Olymp Winery,,,РкацителиПервенец магарача,,10% - 12%,6,10-12,,,,,,
0.75,Jermann,7 330₽,7 330₽,Тихое,Красное,Сухое,Италия,Фриули-Венеция-Джулия,Venezia Giulia IGT,Jermann,IGT/IGP,,Пиньоло,Бочка,13.5%,6,16-18,,,,,,
0.75,Donnafugata,2 990₽,2 990₽,Тихое,Розовое,Сухое,Италия,Сицилия,Sicilia DOC,Donnafugata,DOC/DOP,,Неро д'аволаСираПино нуар,Стальной чан,,6,8-10,,,,,,
0.75,,2 069₽,2 069₽,Тихое,Белое,Сухое,Армения,Араратская долина,,Tierras de Armenia,,Karas,КангунШардонеВионье,Стальной чан,13.5%,6,10-12,,,2022,,,
0.75,,6 439₽,6 439₽,Тихое,Белое,Сухое,Франция,Жюра,Arbois AOC,Domaine Rijckaert,AOC/AOP,,Шардоне,Бочка,13%,6,12-14,,,2022,Арбуа,,
0.75,,3 603₽,3 603₽,Тихое,Белое,Сухое,Франция,Долина Роны,Cotes du Rhone AOС,Ferraton Pere & Fils,AOC/AOP,,Гренаш бланРуссанВионьеКлерет,,13.5%,6,10-12,,Biodynamic,2022,Кот дю Рон,,
0.75,Golubitskoe Estate,1 218₽,1 522₽,Тихое,Белое,Сухое,Россия,Кубань,Кубань. Таманский полуостров ЗГУ,Golubitskoe Estate,ЗГУ,,Шардоне,Стальной чан,12.5%,6,10-12,,,,Кубань,,
0.7,Olymp Winery,358₽,358₽,Тихое,Красное,Полусладкое,Россия,,,Olymp Winery,,,МерлоКаберне совиньон,,10% - 12%,,16-18,,,,,,
0.375,,2 049₽,2 049₽,Тихое,Белое,Полусухое,Франция,Эльзас,Alsace AOC,Gustave Lorentz,AOC/AOP,,Гевюрцтраминер,Стальной чан,13.5%,12,8-10,,,2022,,,
0.75,Casadei,3 046₽,3 808₽,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Casadei,IGT/IGP,CasadeiSogno Mediterraneo,СираМурведрГренаш,Бочка,,6,16-18,,,,,,
0.75,Piccini,1 337₽,1 671₽,,Белое,Сухое,Италия,,,Piccini,,,Пино бланСовиньон бланРислинг,,12.5%,6,8-10,,,,,,
0.75,Luis Felipe Edwards,1 006₽,1 258₽,Тихое,Красное,Сухое,Чили,Центральная долина,Colchagua Valley DO,Luis Felipe Edwards,DO,,ШиразАликанте,Бочка,14%,6,16-18,,,,,,
0.75,,3 077₽,3 077₽,Тихое,Белое,Сухое,Италия,Венето,Trevenezie IGT,Villa Sandi,IGT/IGP,Sauvignon Tardo,Совиньон блан,Стальной чан,12%,6,10-12,,,2022,Тревизо,,
0.75,Усадьба Дивноморское,1 214₽,1 517₽,Тихое,Красное,Сухое,Россия,Краснодарский край,,Усадьба Дивноморское,,Усадьба ДивноморскоеВторая Линия,Каберне совиньонСира,Бочка,13%,6,16-18,,,,Кубань,,
0.75,Caruso & Minini,2 116₽,2 645₽,Тихое,Красное,Сухое,Италия,Сицилия,Sicilia DOC,Caruso & Minini,DOC/DOP,BioCaruso & Minini,Неро д'авола,Бочка,13.5%,6,16-18,,Organic,,,,
0.7,Olymp Winery,420₽,420₽,,Белое,Сухое,Россия,Краснодарский край,,Olymp Winery,,,Первенец магарачаБианкаШардоне,,10% - 12%,6,10-12,,,,,,
0.75,Askaneli,986₽,1 409₽,Тихое,Красное,Полусладкое,Грузия,Кахетия,Ахашени,Askaneli,,,Саперави,Стальной чан,13%,12,16-18,,,2022,,,
0.75,Twin Rivers,1 762₽,1 762₽,Тихое,Белое,Полусухое,Австралия,Южная Австралия,,Twin Rivers,,,Шардоне,,12.5%,6,8-10,,,2021,,,
0.75,,214 991₽,214 991₽,Тихое,Красное,Сухое,Франция,Бордо,Saint-Emilion Grand Cru AOC,Chateau Cheval Blanc,AOC/AOP,,МерлоКаберне франКаберне совиньон,Бочка,14%,6,16-18,,,2006,Сент-Эмильон,,
0.75,Mooiplaas Wine Estate,2 634₽,2 634₽,Тихое,Красное,Сухое,ЮАР,Западный Кейп,Western Cape WO,Mooiplaas Wine Estate,WO,,Пинотаж,Бочка,13.5%,6,16-18,Sustainable,,2022,,,
0.75,Luis Felipe Edwards,1 006₽,1 258₽,Тихое,Красное,Сухое,Чили,Центральная долина,Colchagua Valley DO,Luis Felipe Edwards,DO,,Мерло,Бочка,14%,6,16-18,,,,,,
1.5,,1 481₽,1 851₽,Тихое,Красное,Сухое,Италия,Абруццо,Montepulciano d'Abruzzo DOC,Botter,DOC/DOP,BotterPrima Alta,Монтепульчано,Стальной чан,13%,6,14-16,,,,,,
1.5,Bastianich,8 305₽,10 381₽,Тихое,Белое,Сухое,Италия,Фриули-Венеция-Джулия,Venezia Giulia IGT,Bastianich,IGT/IGP,BastianichVespa,ШардонеСовиньон бланПиколит,Бочка,13.5%,6,8-10,,,,,,
0.75,Marchand-Tawse,19 661₽,19 661₽,Тихое,Красное,Сухое,Франция,Бургундия,Morey-Saint-Denis AOC,Marchand-Tawse,AOC/AOP,,Пино нуар,Бочка,13%,6,14-16,,,2019,Море-Сен-Дени,,
0.75,Askaneli,985₽,1 407₽,Тихое,Красное,Сухое,Грузия,Кахетия,Мукузани,Askaneli,,,Саперави,Бочка,13%,12,10-12,,,2022,,,
0.75,Angove Family Winemakers,1 015₽,1 015₽,,Красное,Сухое,Австралия,,,Angove Family Winemakers,,KukabaraAngove Family Winemakers,Шираз,,14%,6,16-18,,,,,,
0.75,,3 093₽,5 624₽,Тихое,Красное,Сухое,Россия,Крым,,Сатера,,Kacha Valley,Пти вердо,Бочка,11.5% - 13.5%,6,16-18,,,2020,,,
0.75,Kilikanoon,10 118₽,12 648₽,Тихое,Красное,Сухое,Австралия,Южная Австралия,Clare Valley GI,Kilikanoon,GI,Oracle,Шираз,Бочка,,6,16-18,,,,,,
0.75,Corte Giara,10 859₽,10 859₽,Тихое,Красное,Сухое,Италия,Венето,Amarone della Valpolicella DOCG,Corte Giara,DOCG,,Корвина веронезеРондинелла,Бочка,15%,6,14-16,,,2020,,,
0.5,Albino Armani,4 292₽,5 365₽,Тихое,Красное,Сладкое,Италия,Венето,Recioto della Valpolicella DOCG,Albino Armani,DOCG,,КорвинаКорвинонеРондинелла,Бочка,13%,6,16-18,,,,Вальполичелла,,
0.75,,2 569₽,2 569₽,Тихое,Красное,Сухое,Испания,Риоха,Rioja DOCa,Criadores de Rioja,DOCa,Castillo Clavijo,Темпранильо,Бочка,13%,6,16-18,,,2017,,,
0.75,Fanagoria,678₽,848₽,Тихое,Белое,Сухое,Россия,Краснодарский край,Кубань. Таманский полуостров ЗГУ,Fanagoria,ЗГУ,,Шардоне,Стальной чан,13%,6,10-12,,,,Кубань,,
0.75,Domaine Naturaliste,2 062₽,2 577₽,Тихое,Белое,Сухое,Австралия,Западная Австралия,Margaret River GI,Domaine Naturaliste,GI,,Шардоне,Бочка,13.5%,12,10-12,,,,Маргарет Ривер,,
0.75,Clos Figueras,3 351₽,4 189₽,Тихое,Белое,Сухое,Испания,Приорат,Priorat DOQ,Clos Figueras,DOQ,Serras del PrioratClos Figueras,Гарнача бланка,Стальной чан,14.5%,6,10-12,,,,,,
0.75,Luis Felipe Edwards,1 927₽,2 409₽,Тихое,Белое,Сухое,Чили,Центральная долина,Leyda Valley DO,Luis Felipe Edwards,DO,,Совиньон блан,Стальной чан,14%,6,10-12,,,,,,
0.75,Chateau Mukhrani,1 690₽,2 113₽,Тихое,Красное,Сухое,Грузия,Квемо-Картли,,Chateau Mukhrani,,Chateau Mukhrani,Саперави,Бочка,13.5%,6,16-18,,,,,,
0.75,Bulgarini,3 463₽,3 463₽,Тихое,Белое,Полусухое,Италия,Ломбардия,Lugana DOC,Bulgarini,DOC/DOP,,Турбиана,Стальной чан,13%,6,10-12,,,,,,
0.75,,2 303₽,3 290₽,Тихое,Белое,Сухое,Чили,Аконкагуа,Casablanca Valley DO,Matetic,DO,EQ,Совиньон блан,Бочка,13.5%,12,8-10,Sustainable,Biodynamic,2022,Касабланка,,
0.75,Faustino,1 261₽,1 576₽,Тихое,Красное,Сухое,Испания,Наварра,,Faustino,,,Гарнача,Стальной чан,13.5%,6,16-18,,,,,,
0.75,,3 862₽,3 862₽,Тихое,Розовое,Сухое,Россия,Крым,,Сатера,,Kacha Valley,Сира,Стальной чан,12% - 14%,6,8-10,,,2022,,,
0.75,,950₽,1 728₽,Тихое,Белое,Сухое,Россия,Крым,Крым ЗГУ,Сатера,ЗГУ,EsseEsse Unplugged,Мускат,Стальной чан,11.5% - 13.5%,6,10-12,,,2022,,,
0.75,Olymp Winery,488₽,697₽,,Красное,Сухое,Россия,Краснодарский край,Кубань ЗГУ,Olymp Winery,ЗГУ,,Мерло,,10% - 12%,6,14-16,,,,Кубань,,
"0,75",,1 113₽,1 391₽,Тихое,Красное,Сухое,Италия,Тоскана,Chianti DOCG,Fratelli Martini Secondo Luigi,DOCG,Sant Orsola,Санджовезе,Бочка,11.5% - 12%,6,16-18,,,,,,
0.7,Olymp Winery,470₽,470₽,Тихое,Красное,Полусладкое,Россия,Краснодарский край,,Olymp Winery,,,Саперави,,10% - 12%,6,16-18,,,,,,
0.75,Dr. Loosen,1 594₽,1 992₽,Тихое,Белое,Полусухое,Германия,Мозель,Mosel QbA,Dr. Loosen,QbA,,Рислинг,Стальной чан,12%,6,10-12,,,,,,
0.75,Interfin,530₽,663₽,Тихое,Белое,Сухое,Россия,Крым,,Interfin,,,Ркацители,Стальной чан,10.00% - 12%,6,10-12,,,,,,
0.75,Aveleda,1 337₽,1 337₽,Тихое,Розовое,Полусухое,Португалия,,Vinho Verde DOC,Aveleda,DOC/DOP,AveledaCasal Garcia,Азаль тинтоСузаоБоррасал,Стальной чан,9.5%,6,8-10,,,,,,
0.75,,5 472₽,5 472₽,Тихое,Белое,Сухое,Италия,Трентино-Альто-Адидже,Alto-Adige DOC,Cantina Tramin,DOC/DOP,,Гевюрцтраминер,Стальной чан,13.5%,6,10-12,,Biodynamic,2023,,,
0.75,,1 614₽,1 614₽,Тихое,Белое,Сухое,Италия,Венето,Delle Venezie DOC,Villa Degli Olmi,DOC/DOP,,Пино гриджо,,11.5%,6,8-10,,,2023,,,
0.75,,133 376₽,133 376₽,Тихое,Красное,Сухое,Франция,Бордо,Margaux AOC,Chateau Palmer,AOC/AOP,Chateau Palmer,МерлоКаберне совиньонПти вердо,Бочка,13.5%,6,16-18,,Biodynamic,2016,Марго,,
0.75,Joseph Burrier,3 764₽,4 705₽,Тихое,Красное,Сухое,Франция,Бургундия,Moulin-a-Vent AOC,Joseph Burrier,AOC/AOP,,Гаме,Бочка,13.5%,12,14-16,,,,Божоле,,
0.75,Salena Estate,1 230₽,1 538₽,Тихое,Белое,Сухое,Австралия,Юго-Восточная Австралия,South Eastern Australia GI,Salena Estate,GI,,СемильонСовиньон блан,Бочка,12.5%,6,10-12,,,,,,
0.75,Domaines Dominique Piron,4 190₽,4 190₽,Тихое,Белое,Сухое,Франция,Бургундия,Coteaux Bourguignons AOС,Domaines Dominique Piron,AOC/AOP,Coteaux Bourguignons,Шардоне,Бочка,,6,8-10,,,,,,
0.75,Askaneli,3 635₽,3 635₽,Тихое,Белое,Сухое,Грузия,Кахетия,,Askaneli,,,ШардонеРкацители,Бочка,14%,6,10-12,,,2020,,,
0.75,,2 240₽,2 240₽,Тихое,Розовое,Сухое,Чили,Центральная долина,Maule Valley DO,Viña J. Bouchon,DO,,Паис,Стальной чан,12.5%,6,10-12,Sustainable,,2020,Мауле,,
0.75,,913₽,1 141₽,Тихое,Красное,Сухое,Италия,Абруццо,Montepulciano d'Abruzzo DOC,Fratelli Martini Secondo Luigi,,Sant Orsola,Монтепульчано,Бочка,12%,6,16-18,,,,,,
0.75,Криница,3 270₽,4 087₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Геленджик-Криница-Бетта ЗНМП,Криница,ЗНМП,,Каберне совиньонКаберне франСира,Бочка,12.9%,6,16-18,,,2020,Кубань,,
0.7,Olymp Winery,420₽,420₽,,Красное,Сухое,Россия,Краснодарский край,,Olymp Winery,,,МолдоваМерлоКаберне совиньон,,10% - 12%,6,16-18,,,,,,
0.75,Bodegas Muga,7 527₽,7 527₽,Тихое,Красное,Сухое,Испания,Риоха,Rioja DOCa,Bodegas Muga,DOCa,Muga,ТемпранильоГарначаМасуэлоГрасиано,Бочка,14%,6,16-18,,,,Риоха Альта,,
0.75,Famiglia Marrone,2 658₽,3 322₽,Тихое,Красное,Сухое,Италия,Пьемонт,Barbera d'Alba DOC,Famiglia Marrone,DOC/DOP,,Барбера,Бочка,14.5%,6,16-18,,,,Альба,,
0.75,Chateau Lamothe-Vincent,3 452₽,4 315₽,Тихое,Красное,Сухое,Франция,Бордо,Bordeaux Superieur AOС,Chateau Lamothe-Vincent,AOC/AOP,Chateau Lamothe-VincentLe Grand Rossignol,Мерло,Бочка,14.5%,6,16-18,,,,,,
1.5,,139 990₽,139 990₽,Тихое,Красное,Сухое,Италия,Тоскана,Bolgheri DOC,Ornellaia,DOC/DOP,,Каберне совиньонМерлоКаберне франПти вердо,Бочка,14.5%,1,16-18,,,2020,,,
0.75,Tolaini,9 904₽,9 904₽,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Tolaini,IGT/IGP,,Каберне совиньон,Бочка,14.5%,12,16-18,,Organic,2020,,,
0.75,Виноградники Гай-Кодзора,2 245₽,2 245₽,Тихое,Красное,Сухое,Россия,Краснодарский край,,Виноградники Гай-Кодзора,,Gai-KodzorRed Klen,Мурведр,Бочка,13% - 13.5%,6,16-18,,,,,,
0.75,,29 304₽,29 304₽,Тихое,Красное,Сухое,Франция,Бордо,Pessac-Léognan AOC,Domaine de Chevalier,AOC/AOP,,Каберне совиньонМерлоПти вердо,Бочка,13.5%,6,16-18,,,2014,Пессак-Леоньян,,
0.75,Долина Лефкадия,1 638₽,1 638₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Крымск ЗГУ,Долина Лефкадия,ЗГУ,,Каберне совиньон,Бочка,14%,6,16-18,,,,,,
0.75,Дом Захарьиных,1 462₽,1 828₽,Тихое,Красное,Сухое,Россия,Крым,Крым ЗГУ,Дом Захарьиных,ЗГУ,,БастардоКефесия,Бочка,12%,6,16-18,,,,,,
0.75,Mare Magnum,1 538₽,1 923₽,Тихое,Красное,Полусухое,США,Калифорния,,Mare Magnum,,,Зинфандель,Бочка,14%,6,16-18,,,,,,
0.75,Inama,3 046₽,3 808₽,Тихое,Белое,Сухое,Италия,Венето,Veneto IGT,Inama,IGT/IGP,Inama,Совиньон блан,Стальной чан,13.5%,6,8-10,,,,,,
0.75,,927₽,1 685₽,Тихое,Белое,Сухое,Россия,Крым,,Сатера,,Esse,Ркацители,Бочка,11.5% - 13.5%,6,10-12,,,,,,
0.75,Askaneli,886₽,1 265₽,,Белое,Сухое,Грузия,Кахетия,Манави,Askaneli,,,Кахури мцванеРкацители,,13%,6,10-12,,,2023,,,
0.75,Finca Beltran,1 393₽,1 990₽,Тихое,Красное,Сухое,Аргентина,Мендоса,Mendoza,Finca Beltran,,,Пино нуар,Стальной чан,13.5%,6,16-18,,,2023,,,
0.75,Olymp Winery,539₽,539₽,,Красное,Сухое,Россия,Краснодарский край,,Olymp Winery,,,Саперави,,10% - 12%,6,14-16,,,,,,
0.75,Winery Despotika,4 490₽,4 490₽,Тихое,Красное,Сухое,Сербия,Сумадия,,Winery Despotika,,,Прокупац,Бочка,14%,6,16-18,,,2021,,,
0.75,Argiano,17 404₽,17 404₽,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Argiano,IGT/IGP,ArgianoSolengo,Каберне совиньонПти вердоМерлоСанджовезе,Бочка,14.5%,6,16-18,,,,,,
0.75,,2 475₽,2 475₽,Тихое,Красное,Сухое,Италия,Сардиния,Cannonau di Sardegna DOC,Enoitalia,DOC/DOP,,Каннонау,Стальной чан,14%,6,16-18,,,2019,,,
0.75,Chateau Mukhrani,1 654₽,2 067₽,Тихое,Розовое,Сухое,Грузия,Квемо-Картли,,Chateau Mukhrani,,Chateau Mukhrani,Тавквери,Стальной чан,12%,6,10-12,,,,,,
0.75,Feudi di San Gregorio,3 140₽,3 140₽,Тихое,Красное,Сухое,Италия,Кампанья,Vesuvio DOC,Feudi di San Gregorio,DOC/DOP,Lachryma Christi,АльяникоПьедироссо,Стальной чан,13%,6,16-18,,,,,,
1.5,Domaine Ubi,3 684₽,4 605₽,Тихое,Розовое,Сухое,Франция,Юго-Запад,Cotes de Gascogne IGP,Domaine Ubi,IGT/IGP,,Каберне совиньонКаберне франСираМерло,Стальной чан,11%,6,8-10,,Organic,,Кот де Гасконь,,
0.75,Chateau Mukhrani,2 419₽,3 024₽,Тихое,Красное,Сухое,Грузия,Квемо-Картли,,Chateau Mukhrani,,Chateau Mukhrani,Тавквери,Стальной чан,13%,6,16-18,,,,,,
0.75,Castel Mimi,713₽,891₽,Тихое,Красное,Сухое,Молдавия,,,Castel Mimi,,,Саперави,Стальной чан,14.5%,6,16-18,,,,,,
0.75,Caymus Vineyards,30 000₽,30 000₽,Тихое,Красное,Сухое,США,Калифорния,Napa Valley AVA,Caymus Vineyards,AVA,,Каберне совиньон,Бочка,14.4%,12,16-18,,,2020,,,
