Объем,Бренд,Цена со скидкой,Цена,Тип вина,Цвет,Сахар,Страна производителя,Регион,Аппелласьон,Производитель,Категория,Бренд / Серия,Сорт винограда,Выдержка в ёмкости,Содержание алкоголя,Количество в упаковке,Температура подачи,Friendly,BiO,Винтаж,Субрегион,Выдержка,Подарочная упаковка0.75,Chateau Pinot,580₽,725₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Новороссийск ЗГУ,Chateau Pinot,ЗГУ,Chateau PinotГравитация,Пино нуарСаперави,Стальной чан,13%,6,16-18
0.75,Gunderloch,2 890₽,2 890₽,Тихое,Белое,Полусладкое,Германия,Райнхессен,Rheinhessen QbA,Gunderloch,QbA,Balbach,Рислинг,Стальной чан,,6,8-10
0.75,Золотая Балка,506₽,633₽,Тихое,Белое,Сухое,Россия,Крым,Крым ЗГУ,Золотая Балка,ЗГУ,,Совиньон блан,Стальной чан,12.5%,6,10-12
0.187,Olymp Winery,208₽,208₽,Тихое,Белое,Полусладкое,Россия,Краснодарский край,,Olymp Winery,,,РкацителиПервенец магарача,,10% - 12%,24,10-12
0.75,Bodegas y Vinedos de Aguirre,642₽,803₽,Тихое,Красное,Сухое,Чили,Центральная долина,Central Valley DO,Bodegas y Vinedos de Aguirre,DO,,Сира,Стальной чан,13%,6,16-18
0.75,Linton Park,1 000₽,1 250₽,Тихое,Белое,Сухое,ЮАР,Западный Кейп,,Linton Park,,,Шенен блан,Стальной чан,12%,6,10-12
0.75,Alma Valley,679₽,849₽,Тихое,Розовое,Полусухое,Россия,Крым,Крым ЗГУ,Alma Valley,ЗГУ,Alma ValleySummer Wine,Пино нуарСира,Стальной чан,,6,8-10
0.75,Golubitskoe Estate,812₽,1 015₽,Тихое,Розовое,Сухое,Россия,Краснодарский край,Кубань. Таманский полуостров ЗГУ,Golubitskoe Estate,ЗГУ,,Пино гриКаберне совиньонМерло,Стальной чан,12.2% - 13%,6,10-12
0.75,Chateau Mukhrani,2 314₽,2 892₽,Тихое,Красное,Полусладкое,Грузия,Квемо-Картли,Киндзмараули ЗГУ,Chateau Mukhrani,ЗГУ,Chateau Mukhrani,Саперави,Бочка,10.5%,6,16-18
0.75,,1 598₽,1 998₽,Тихое,Белое,Сухое,Новая Зеландия,Мальборо,Marlborough,Les Grands Chais de France,,,Совиньон блан,Стальной чан,12.5%,6,10-12
0.75,,1 382₽,1 382₽,Тихое,Красное,Полусладкое,Испания,,,Cherubino Valsangiacomo,,,Красные сорта винограда,,11%,6,16-18
