Объем,Бренд,Цена со скидкой,Цена,Тип вина,Цвет,Сахар,Страна производителя,Регион,Аппелласьон,Производитель,Категория,Сорт винограда,Выдержка в ёмкости,Содержание алкоголя,Температура подачи,Friendly,BiO,Винтаж,Подарочная упаковка
0.75,Catena Zapata,1571.0,1571.0,Тихое,Белое,Сухое,Аргентина,Мендоса,Mendoza,Catena Zapata,unknown,Шардоне,Бочка,13.0,11.0,0,0,unknown,0
0.75,unknown,3200.0,3200.0,Тихое,Красное,Сухое,Франция,Долина Луары,Saumur Champigny AOC,Joseph Verdier,AOC,Каберне фран,Стальной чан,12.5,17.0,0,0,2021,0
0.75,unknown,13726.0,13726.0,Тихое,Красное,Сухое,Франция,Бургундия,Santenay 1er Cru AOС,Domaine De La Choupette,AOC/AOP,Пино нуар,Бочка,13.0,17.0,0,0,2022,0
0.75,Malat,5633.0,7041.0,Тихое,Белое,Сухое,Австрия,Нижняя Австрия,unknown,Malat,unknown,Рислинг,Стальной чан,12.75,11.0,0,0,unknown,0
0.75,unknown,4790.0,4790.0,Тихое,Красное,Сухое,Италия,Тоскана,Vino Nobile di Montepulciano DOCG,Tenuta di Gracciano Della Seta,DOCG,СанджовезеМерло,Бочка,14.0,17.0,0,1,2020,0
1.5,San Polo,46863.0,46863.0,Тихое,Красное,Сухое,Италия,Тоскана,Brunello di Montalcino DOCG,San Polo,DOCG,Санджовезе,Бочка,14.0,17.0,0,1,2018,1
0.75,Bodega la Rural,1623.0,2029.0,Тихое,Красное,Сухое,Аргентина,Мендоса,Mendoza,Bodega la Rural,unknown,Мальбек,Бочка,13.25,17.0,0,0,unknown,0
0.75,Castello Banfi,1990.0,1990.0,Тихое,Белое,Полусухое,Италия,Тоскана,Toscana IGT,Castello Banfi,IGT/IGP,ШардонеПино гриджо,Стальной чан,12.914653243847875,9.0,0,0,unknown,0
0.75,GWS,1318.0,1648.0,Тихое,Белое,Сухое,Грузия,Кахетия,unknown,GWS,unknown,Мцване,Бочка,13.5,9.0,0,0,unknown,0
0.75,Массандра,689.0,861.0,Креплёное,Красное,Сладкое,Россия,Крым,Крым ЗГУ,Массандра,ЗГУ,Бастардо магарачский,Бочка,16.0,17.0,0,0,unknown,0
0.75,unknown,41413.0,41413.0,Тихое,Красное,Сухое,Франция,Бордо,Saint-Emilion Grand Cru AOC,Chateau Canon,AOC/AOP,МерлоКаберне фран,Бочка,14.0,17.0,0,0,< 2011,0
0.75,unknown,828.0,1035.0,Тихое,Красное,Полусухое,Россия,Краснодарский край,Кубань. Новороссийск ЗГУ,Мысхако,ЗГУ,Зинфандель,Стальной чан,14.7,17.0,0,0,unknown,0
0.75,Santa Monica,1277.0,1824.0,Тихое,Красное,Сухое,США,Калифорния,unknown,Santa Monica,unknown,Каберне совиньон,Бочка,12.5,17.0,0,0,unknown,0
0.75,Taylors Wines,3099.0,3874.0,Тихое,Белое,Полусухое,Австралия,Южная Австралия,unknown,Taylors Wines,unknown,Шардоне,Бочка,14.0,11.0,0,0,unknown,0
0.75,unknown,13900.0,13900.0,Тихое,Красное,Сухое,Франция,Бордо,Pauillac AOC,Chateau Haut-Bages Liberal,AOC/AOP,Каберне совиньонМерло,Бочка,13.0,17.0,0,0,2017,0
0.75,unknown,2642.0,2642.0,Тихое,Белое,Сухое,Аргентина,Мендоса,Mendoza,Puerto Ancona,unknown,ТорронтесГевюрцтраминерСовиньон блан,Стальной чан,13.1,11.0,0,0,2018,0
0.75,Familles Jegerlehner et Prataviera,1230.0,1538.0,Тихое,Красное,Сухое,Франция,Юго-Запад,Cotes de Gascogne IGT,Familles Jegerlehner et Prataviera,IGT/IGP,МерлоКаберне совиньон,Стальной чан,13.5,17.0,0,0,unknown,0
0.75,Venica & Venica,7249.0,7249.0,Тихое,Белое,Полусухое,Италия,Фриули-Венеция-Джулия,Collio DOC,Venica & Venica,DOC/DOP,Гевюрцтраминер,Стальной чан,13.0,11.0,0,0,2022,0
1.5,Domaine Roy,38722.0,38722.0,Тихое,Белое,Сухое,Франция,Бургундия,Chablis Grand Cru AOС,Domaine Roy,AOC/AOP,Шардоне,Стальной чан,13.0,11.0,0,0,2018,0
0.75,unknown,109262.0,109262.0,Тихое,Красное,Сухое,Франция,Бордо,Pauillac AOC,Chateau Pontet-Canet,AOC/AOP,Каберне совиньонМерлоКаберне франПти вердо,Бочка,14.5,17.0,0,1,< 2011,0
0.75,Caviro,1087.0,1087.0,Тихое,Красное,Полусладкое,Италия,unknown,unknown,Caviro,unknown,СанджовезеМонтепульчано,unknown,10.5,17.0,0,0,unknown,0
0.75,Alpha Estate,2054.0,2568.0,Тихое,Красное,Сухое,Греция,Македония,Florina PGI,Alpha Estate,PGI,СираКсиномавро,Бочка,13.75,17.0,0,0,unknown,0
0.75,Isole e Olena,19962.0,19962.0,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Isole e Olena,IGT/IGP,Санджовезе,Бочка,15.0,19.0,0,0,unknown,0
0.75,Tenuta Mordini,9394.0,9394.0,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Tenuta Mordini,IGT/IGP,Сира,Бочка,13.5,15.0,0,1,2018,0
0.75,Aromo,892.0,1115.0,Тихое,Красное,Полусухое,Чили,Центральная долина,Secano Interior DO,Aromo,DO,Паис,Стальной чан,13.5,17.0,0,0,unknown,0
0.75,Angelo Rocca е Figli,2274.0,2842.0,Тихое,Красное,Сухое,Италия,Апулия,Salento IGT,Angelo Rocca e Figli,IGT/IGP,Сузуманьелло,Стальной чан,15.0,17.0,0,0,unknown,0
0.75,unknown,5088.0,5088.0,Тихое,Красное,Сухое,Италия,Пьемонт,Dolcetto d'Alba DOC,Marchesi di Barolo,DOC/DOP,Дольчетто,unknown,13.0,17.0,0,0,2022,0
0.75,Chateau Quinault l’Enclos,11874.0,11874.0,Тихое,Красное,Сухое,Франция,Бордо,Saint-Emilion Grand Cru AOC,Chateau Quinault l’Enclos,AOC/AOP,МерлоКаберне совиньонКаберне фран,Бочка,13.0,17.0,0,1,2014,0
0.75,Guilleraut-Fargette,7506.0,7506.0,Тихое,Красное,Сухое,Франция,Долина Луары,Sancerre AOC,Guilleraut-Fargette,AOC/AOP,Пино нуар,Бочка,14.5,15.0,1,0,2020,0
0.75,Jermann,5563.0,5563.0,Тихое,Белое,Полусухое,Италия,Фриули-Венеция-Джулия,Venezia Giulia IGT,Jermann,IGT/IGP,Рислинг,Стальной чан,13.0,9.0,0,0,unknown,0
0.75,Caviro,1256.0,1256.0,Тихое,Белое,Полусладкое,Италия,unknown,unknown,Caviro,unknown,ТреббьяноКатарратто,unknown,10.5,11.0,0,0,unknown,0
0.75,unknown,1087.0,1087.0,Тихое,Белое,Полусухое,Австралия,Юго-Восточная Австралия,South Australia GI,Hardy’s,GI,ШардонеКоломбар,unknown,13.0,9.0,0,0,unknown,0
0.75,unknown,1160.0,1450.0,Тихое,Красное,Сухое,Россия,Краснодарский край,unknown,Абрау-Дюрсо,unknown,Пино нуар,Бочка,13.0,17.0,0,0,unknown,0
0.75,Interfin,530.0,663.0,Тихое,Белое,Сухое,Россия,Крым,unknown,Interfin,unknown,Совиньон блан,Стальной чан,12.0,11.0,0,0,unknown,0
0.75,unknown,16600.0,16600.0,Тихое,Красное,Сухое,Чили,Центральная долина,Puente Alto DO,Almaviva,DO,Каберне совиньонКарменерМерлоКаберне фран,Бочка,15.0,17.0,0,0,2020,0
0.75,unknown,2613.0,2613.0,Тихое,Белое,Сухое,Франция,unknown,unknown,Chateau Croix de Labrie,unknown,Шардоне,Стальной чан,13.5,9.0,0,0,2022,0
0.75,Askaneli,1227.0,1227.0,Тихое,Красное,Сухое,Грузия,Кахетия,unknown,Askaneli,unknown,Саперави,Стальной чан,13.0,17.0,0,0,2021,0
0.75,unknown,1393.0,1393.0,Тихое,Красное,Полусухое,Австралия,Юго-Восточная Австралия,South Eastern Australia GI,Hardy’s,GI,Каберне совиньонМерло,unknown,13.5,17.0,0,0,2021,0
0.75,unknown,58561.0,58561.0,Тихое,Красное,Сухое,Франция,Бордо,Saint-Emilion Grand Cru AOC,Chateau Canon,AOC/AOP,МерлоКаберне фран,Бочка,15.0,17.0,0,0,< 2011,0
0.75,Caviro,1317.0,1317.0,Тихое,Белое,Сухое,Италия,unknown,unknown,Caviro,unknown,ТреббьяноКатарратто,unknown,11.0,11.0,0,0,unknown,0
0.75,Gerhard Markowitsch,6837.0,8546.0,Тихое,Красное,Сухое,Австрия,Нижняя Австрия,Carnuntum DAC,Gerhard Markowitsch,DAC,ЦвайгельтМерлоБлауфранкиш,Бочка,14.0,17.0,0,0,unknown,0
0.75,Luis Felipe Edwards,2815.0,3519.0,Тихое,Красное,Сухое,Чили,Центральная долина,Colchagua Valley DO,Luis Felipe Edwards,DO,Каберне совиньонКарменерПти вердоКаберне фран,Бочка,14.0,17.0,0,0,unknown,0
0.75,unknown,7980.0,7980.0,Тихое,Белое,Сухое,Франция,Бургундия,Chablis 1er Cru AOС,Maison Olivier Tricon,AOC/AOP,Шардоне,Стальной чан,13.0,11.0,0,0,2021,0
0.75,Jermann,5367.0,5367.0,Тихое,Белое,Сухое,Италия,Фриули-Венеция-Джулия,Venezia Giulia IGT,Jermann,IGT/IGP,Шардоне,Стальной чан,13.0,11.0,0,0,unknown,0
0.75,Angelo Rocca е Figli,1980.0,2475.0,Тихое,Красное,Сухое,Италия,Апулия,Salento IGT,Angelo Rocca e Figli,IGT/IGP,Негроамаро,Бочка,14.0,17.0,0,0,unknown,0
1.5,unknown,14287.0,14287.0,Тихое,Красное,Сухое,Россия,Крым,unknown,Сатера,unknown,Каберне совиньон,Бочка,13.5,17.0,0,0,2021,0
0.75,Piccini,1416.0,1770.0,Тихое,Красное,Сухое,Италия,Тоскана,Chianti DOCG,Piccini,DOCG,Санджовезе,Бочка,12.914653243847875,17.0,0,0,unknown,0
0.75,unknown,1597.0,1597.0,Тихое,Белое,Сухое,Италия,Венето,Delle Venezie DOC,Villa Degli Olmi,DOC/DOP,Пино гриджо,unknown,11.5,11.0,0,0,2023,0
0.75,Weingut Heninger,2000.0,2000.0,Тихое,Белое,Сухое,Австрия,Нижняя Австрия,Niederosterreich,Weingut Heninger,unknown,Грюнер вельтлинер,Стальной чан,12.5,9.0,0,0,unknown,0
0.75,unknown,1372.0,1372.0,Тихое,Белое,Сухое,Испания,Кастилия-Ла-Манча,La Mancha DO,Bodegas Fernando Castro,DO,Айрен,unknown,11.5,9.0,0,0,2021,0
0.7,Olymp Winery,419.0,419.0,Тихое,Красное,Сухое,Россия,unknown,unknown,Olymp Winery,unknown,МолдоваКаберне совиньонМерло,unknown,11.0,17.0,0,0,unknown,0
0.75,Vignobles Lassagne,2580.0,3225.0,Тихое,Красное,Сухое,Франция,Бордо,Lussac Saint-Emilion AOC,Vignobles Lassagne,AOC/AOP,Мерло,Бочка,14.0,17.0,0,0,unknown,0
0.75,unknown,10990.0,10990.0,Тихое,Красное,Сухое,Италия,Пьемонт,Barolo DOCG,Batasiolo,DOCG,Неббиоло,Бочка,14.5,17.0,0,0,2016,0
0.75,Sainte Neige,5325.0,6656.0,Тихое,Белое,Сухое,Япония,unknown,unknown,Sainte Neige,unknown,Совиньон блан,Стальной чан,12.5,11.0,0,0,unknown,0
0.75,Chateau Moulin-Borie,3825.0,3825.0,Тихое,Красное,Сухое,Франция,Бордо,Listrac-Medoc AOC,Chateau Moulin-Borie,AOC/AOP,Каберне совиньонМерлоПти вердо,Бочка,13.5,17.0,0,0,2015,0
0.75,unknown,36838.0,36838.0,Тихое,Белое,Сухое,Франция,Бургундия,Meursault AOС,Philippe Pacalet,AOC/AOP,Шардоне,Бочка,13.0,11.0,0,1,2021,0
0.187,Olymp Winery,226.0,226.0,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань ЗГУ,Olymp Winery,ЗГУ,Каберне совиньон,unknown,11.5,15.0,0,0,unknown,0
0.75,Los Haroldos,724.0,724.0,Тихое,Белое,Сухое,Аргентина,Мендоса,Mendoza,Los Haroldos,unknown,Шардоне,Стальной чан,12.0,9.0,0,0,2023,0
0.75,Tiefenbrunner,3285.0,4106.0,Тихое,Белое,Сухое,Италия,Трентино-Альто-Адидже,Alto-Adige DOC,Tiefenbrunner,DOC/DOP,Гевюрцтраминер,Стальной чан,14.0,11.0,0,0,unknown,0
0.7,Olymp Winery,419.0,419.0,Тихое,Белое,Полусладкое,Россия,unknown,unknown,Olymp Winery,unknown,РкацителиПервенец магарача,unknown,11.0,11.0,0,0,unknown,0
0.75,Jermann,7330.0,7330.0,Тихое,Красное,Сухое,Италия,Фриули-Венеция-Джулия,Venezia Giulia IGT,Jermann,IGT/IGP,Пиньоло,Бочка,13.5,17.0,0,0,unknown,0
0.75,Donnafugata,2990.0,2990.0,Тихое,Розовое,Сухое,Италия,Сицилия,Sicilia DOC,Donnafugata,DOC/DOP,Неро д'аволаСираПино нуар,Стальной чан,12.914653243847875,9.0,0,0,unknown,0
0.75,unknown,2069.0,2069.0,Тихое,Белое,Сухое,Армения,Араратская долина,unknown,Tierras de Armenia,unknown,КангунШардонеВионье,Стальной чан,13.5,11.0,0,0,2022,0
0.75,unknown,6439.0,6439.0,Тихое,Белое,Сухое,Франция,Жюра,Arbois AOC,Domaine Rijckaert,AOC/AOP,Шардоне,Бочка,13.0,13.0,0,0,2022,0
0.75,unknown,3603.0,3603.0,Тихое,Белое,Сухое,Франция,Долина Роны,Cotes du Rhone AOС,Ferraton Pere & Fils,AOC/AOP,Гренаш бланРуссанВионьеКлерет,unknown,13.5,11.0,0,1,2022,0
0.75,Golubitskoe Estate,1218.0,1522.0,Тихое,Белое,Сухое,Россия,Кубань,Кубань. Таманский полуостров ЗГУ,Golubitskoe Estate,ЗГУ,Шардоне,Стальной чан,12.5,11.0,0,0,unknown,0
0.7,Olymp Winery,358.0,358.0,Тихое,Красное,Полусладкое,Россия,unknown,unknown,Olymp Winery,unknown,МерлоКаберне совиньон,unknown,11.0,17.0,0,0,unknown,0
0.375,unknown,2049.0,2049.0,Тихое,Белое,Полусухое,Франция,Эльзас,Alsace AOC,Gustave Lorentz,AOC/AOP,Гевюрцтраминер,Стальной чан,13.5,9.0,0,0,2022,0
0.75,Casadei,3046.0,3808.0,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Casadei,IGT/IGP,СираМурведрГренаш,Бочка,12.914653243847875,17.0,0,0,unknown,0
0.75,Piccini,1337.0,1671.0,Тихое,Белое,Сухое,Италия,unknown,unknown,Piccini,unknown,Пино бланСовиньон бланРислинг,unknown,12.5,9.0,0,0,unknown,0
0.75,Luis Felipe Edwards,1006.0,1258.0,Тихое,Красное,Сухое,Чили,Центральная долина,Colchagua Valley DO,Luis Felipe Edwards,DO,ШиразАликанте,Бочка,14.0,17.0,0,0,unknown,0
0.75,unknown,3077.0,3077.0,Тихое,Белое,Сухое,Италия,Венето,Trevenezie IGT,Villa Sandi,IGT/IGP,Совиньон блан,Стальной чан,12.0,11.0,0,0,2022,0
0.75,Усадьба Дивноморское,1214.0,1517.0,Тихое,Красное,Сухое,Россия,Краснодарский край,unknown,Усадьба Дивноморское,unknown,Каберне совиньонСира,Бочка,13.0,17.0,0,0,unknown,0
0.75,Caruso & Minini,2116.0,2645.0,Тихое,Красное,Сухое,Италия,Сицилия,Sicilia DOC,Caruso & Minini,DOC/DOP,Неро д'авола,Бочка,13.5,17.0,0,1,unknown,0
0.7,Olymp Winery,420.0,420.0,Тихое,Белое,Сухое,Россия,Краснодарский край,unknown,Olymp Winery,unknown,Первенец магарачаБианкаШардоне,unknown,11.0,11.0,0,0,unknown,0
0.75,Askaneli,986.0,1409.0,Тихое,Красное,Полусладкое,Грузия,Кахетия,Ахашени,Askaneli,unknown,Саперави,Стальной чан,13.0,17.0,0,0,2022,0
0.75,Twin Rivers,1762.0,1762.0,Тихое,Белое,Полусухое,Австралия,Южная Австралия,unknown,Twin Rivers,unknown,Шардоне,unknown,12.5,9.0,0,0,2021,0
0.75,Mooiplaas Wine Estate,2634.0,2634.0,Тихое,Красное,Сухое,ЮАР,Западный Кейп,Western Cape WO,Mooiplaas Wine Estate,WO,Пинотаж,Бочка,13.5,17.0,1,0,2022,0
0.75,Luis Felipe Edwards,1006.0,1258.0,Тихое,Красное,Сухое,Чили,Центральная долина,Colchagua Valley DO,Luis Felipe Edwards,DO,Мерло,Бочка,14.0,17.0,0,0,unknown,0
1.5,unknown,1481.0,1851.0,Тихое,Красное,Сухое,Италия,Абруццо,Montepulciano d'Abruzzo DOC,Botter,DOC/DOP,Монтепульчано,Стальной чан,13.0,15.0,0,0,unknown,0
1.5,Bastianich,8305.0,10381.0,Тихое,Белое,Сухое,Италия,Фриули-Венеция-Джулия,Venezia Giulia IGT,Bastianich,IGT/IGP,ШардонеСовиньон бланПиколит,Бочка,13.5,9.0,0,0,unknown,0
0.75,Marchand-Tawse,19661.0,19661.0,Тихое,Красное,Сухое,Франция,Бургундия,Morey-Saint-Denis AOC,Marchand-Tawse,AOC/AOP,Пино нуар,Бочка,13.0,15.0,0,0,2019,0
0.75,Askaneli,985.0,1407.0,Тихое,Красное,Сухое,Грузия,Кахетия,Мукузани,Askaneli,unknown,Саперави,Бочка,13.0,11.0,0,0,2022,0
0.75,Angove Family Winemakers,1015.0,1015.0,Тихое,Красное,Сухое,Австралия,unknown,unknown,Angove Family Winemakers,unknown,Шираз,unknown,14.0,17.0,0,0,unknown,0
0.75,unknown,3093.0,5624.0,Тихое,Красное,Сухое,Россия,Крым,unknown,Сатера,unknown,Пти вердо,Бочка,12.5,17.0,0,0,2020,0
0.75,Kilikanoon,10118.0,12648.0,Тихое,Красное,Сухое,Австралия,Южная Австралия,Clare Valley GI,Kilikanoon,GI,Шираз,Бочка,12.914653243847875,17.0,0,0,unknown,0
0.75,Corte Giara,10859.0,10859.0,Тихое,Красное,Сухое,Италия,Венето,Amarone della Valpolicella DOCG,Corte Giara,DOCG,Корвина веронезеРондинелла,Бочка,15.0,15.0,0,0,2020,0
0.5,Albino Armani,4292.0,5365.0,Тихое,Красное,Сладкое,Италия,Венето,Recioto della Valpolicella DOCG,Albino Armani,DOCG,КорвинаКорвинонеРондинелла,Бочка,13.0,17.0,0,0,unknown,0
0.75,unknown,2569.0,2569.0,Тихое,Красное,Сухое,Испания,Риоха,Rioja DOCa,Criadores de Rioja,DOCa,Темпранильо,Бочка,13.0,17.0,0,0,2017,0
0.75,Fanagoria,678.0,848.0,Тихое,Белое,Сухое,Россия,Краснодарский край,Кубань. Таманский полуостров ЗГУ,Fanagoria,ЗГУ,Шардоне,Стальной чан,13.0,11.0,0,0,unknown,0
0.75,Domaine Naturaliste,2062.0,2577.0,Тихое,Белое,Сухое,Австралия,Западная Австралия,Margaret River GI,Domaine Naturaliste,GI,Шардоне,Бочка,13.5,11.0,0,0,unknown,0
0.75,Clos Figueras,3351.0,4189.0,Тихое,Белое,Сухое,Испания,Приорат,Priorat DOQ,Clos Figueras,DOQ,Гарнача бланка,Стальной чан,14.5,11.0,0,0,unknown,0
0.75,Luis Felipe Edwards,1927.0,2409.0,Тихое,Белое,Сухое,Чили,Центральная долина,Leyda Valley DO,Luis Felipe Edwards,DO,Совиньон блан,Стальной чан,14.0,11.0,0,0,unknown,0
0.75,Chateau Mukhrani,1690.0,2113.0,Тихое,Красное,Сухое,Грузия,Квемо-Картли,unknown,Chateau Mukhrani,unknown,Саперави,Бочка,13.5,17.0,0,0,unknown,0
0.75,Bulgarini,3463.0,3463.0,Тихое,Белое,Полусухое,Италия,Ломбардия,Lugana DOC,Bulgarini,DOC/DOP,Турбиана,Стальной чан,13.0,11.0,0,0,unknown,0
0.75,unknown,2303.0,3290.0,Тихое,Белое,Сухое,Чили,Аконкагуа,Casablanca Valley DO,Matetic,DO,Совиньон блан,Бочка,13.5,9.0,1,1,2022,0
0.75,Faustino,1261.0,1576.0,Тихое,Красное,Сухое,Испания,Наварра,unknown,Faustino,unknown,Гарнача,Стальной чан,13.5,17.0,0,0,unknown,0
0.75,unknown,3862.0,3862.0,Тихое,Розовое,Сухое,Россия,Крым,unknown,Сатера,unknown,Сира,Стальной чан,13.0,9.0,0,0,2022,0
0.75,unknown,950.0,1728.0,Тихое,Белое,Сухое,Россия,Крым,Крым ЗГУ,Сатера,ЗГУ,Мускат,Стальной чан,12.5,11.0,0,0,2022,0
0.75,Olymp Winery,488.0,697.0,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань ЗГУ,Olymp Winery,ЗГУ,Мерло,unknown,11.0,15.0,0,0,unknown,0
0.75,unknown,1113.0,1391.0,Тихое,Красное,Сухое,Италия,Тоскана,Chianti DOCG,Fratelli Martini Secondo Luigi,DOCG,Санджовезе,Бочка,11.75,17.0,0,0,unknown,0
0.7,Olymp Winery,470.0,470.0,Тихое,Красное,Полусладкое,Россия,Краснодарский край,unknown,Olymp Winery,unknown,Саперави,unknown,11.0,17.0,0,0,unknown,0
0.75,Dr. Loosen,1594.0,1992.0,Тихое,Белое,Полусухое,Германия,Мозель,Mosel QbA,Dr. Loosen,QbA,Рислинг,Стальной чан,12.0,11.0,0,0,unknown,0
0.75,Interfin,530.0,663.0,Тихое,Белое,Сухое,Россия,Крым,unknown,Interfin,unknown,Ркацители,Стальной чан,11.0,11.0,0,0,unknown,0
0.75,Aveleda,1337.0,1337.0,Тихое,Розовое,Полусухое,Португалия,unknown,Vinho Verde DOC,Aveleda,DOC/DOP,Азаль тинтоСузаоБоррасал,Стальной чан,9.5,9.0,0,0,unknown,0
0.75,unknown,5472.0,5472.0,Тихое,Белое,Сухое,Италия,Трентино-Альто-Адидже,Alto-Adige DOC,Cantina Tramin,DOC/DOP,Гевюрцтраминер,Стальной чан,13.5,11.0,0,1,2023,0
0.75,unknown,1614.0,1614.0,Тихое,Белое,Сухое,Италия,Венето,Delle Venezie DOC,Villa Degli Olmi,DOC/DOP,Пино гриджо,unknown,11.5,9.0,0,0,2023,0
0.75,unknown,133376.0,133376.0,Тихое,Красное,Сухое,Франция,Бордо,Margaux AOC,Chateau Palmer,AOC/AOP,МерлоКаберне совиньонПти вердо,Бочка,13.5,17.0,0,1,2016,0
0.75,Joseph Burrier,3764.0,4705.0,Тихое,Красное,Сухое,Франция,Бургундия,Moulin-a-Vent AOC,Joseph Burrier,AOC/AOP,Гаме,Бочка,13.5,15.0,0,0,unknown,0
0.75,Salena Estate,1230.0,1538.0,Тихое,Белое,Сухое,Австралия,Юго-Восточная Австралия,South Eastern Australia GI,Salena Estate,GI,СемильонСовиньон блан,Бочка,12.5,11.0,0,0,unknown,0
0.75,Domaines Dominique Piron,4190.0,4190.0,Тихое,Белое,Сухое,Франция,Бургундия,Coteaux Bourguignons AOС,Domaines Dominique Piron,AOC/AOP,Шардоне,Бочка,12.914653243847875,9.0,0,0,unknown,0
0.75,Askaneli,3635.0,3635.0,Тихое,Белое,Сухое,Грузия,Кахетия,unknown,Askaneli,unknown,ШардонеРкацители,Бочка,14.0,11.0,0,0,2020,0
0.75,unknown,2240.0,2240.0,Тихое,Розовое,Сухое,Чили,Центральная долина,Maule Valley DO,Viña J. Bouchon,DO,Паис,Стальной чан,12.5,11.0,1,0,2020,0
0.75,unknown,913.0,1141.0,Тихое,Красное,Сухое,Италия,Абруццо,Montepulciano d'Abruzzo DOC,Fratelli Martini Secondo Luigi,unknown,Монтепульчано,Бочка,12.0,17.0,0,0,unknown,0
0.75,Криница,3270.0,4087.0,Тихое,Красное,Сухое,Россия,Краснодарский край,Геленджик-Криница-Бетта ЗНМП,Криница,ЗНМП,Каберне совиньонКаберне франСира,Бочка,12.9,17.0,0,0,2020,0
0.7,Olymp Winery,420.0,420.0,Тихое,Красное,Сухое,Россия,Краснодарский край,unknown,Olymp Winery,unknown,МолдоваМерлоКаберне совиньон,unknown,11.0,17.0,0,0,unknown,0
0.75,Bodegas Muga,7527.0,7527.0,Тихое,Красное,Сухое,Испания,Риоха,Rioja DOCa,Bodegas Muga,DOCa,ТемпранильоГарначаМасуэлоГрасиано,Бочка,14.0,17.0,0,0,unknown,0
0.75,Famiglia Marrone,2658.0,3322.0,Тихое,Красное,Сухое,Италия,Пьемонт,Barbera d'Alba DOC,Famiglia Marrone,DOC/DOP,Барбера,Бочка,14.5,17.0,0,0,unknown,0
0.75,Chateau Lamothe-Vincent,3452.0,4315.0,Тихое,Красное,Сухое,Франция,Бордо,Bordeaux Superieur AOС,Chateau Lamothe-Vincent,AOC/AOP,Мерло,Бочка,14.5,17.0,0,0,unknown,0
1.5,unknown,139990.0,139990.0,Тихое,Красное,Сухое,Италия,Тоскана,Bolgheri DOC,Ornellaia,DOC/DOP,Каберне совиньонМерлоКаберне франПти вердо,Бочка,14.5,17.0,0,0,2020,0
0.75,Tolaini,9904.0,9904.0,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Tolaini,IGT/IGP,Каберне совиньон,Бочка,14.5,17.0,0,1,2020,0
0.75,Виноградники Гай-Кодзора,2245.0,2245.0,Тихое,Красное,Сухое,Россия,Краснодарский край,unknown,Виноградники Гай-Кодзора,unknown,Мурведр,Бочка,13.25,17.0,0,0,unknown,0
0.75,unknown,29304.0,29304.0,Тихое,Красное,Сухое,Франция,Бордо,Pessac-Léognan AOC,Domaine de Chevalier,AOC/AOP,Каберне совиньонМерлоПти вердо,Бочка,13.5,17.0,0,0,2014,0
0.75,Долина Лефкадия,1638.0,1638.0,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Крымск ЗГУ,Долина Лефкадия,ЗГУ,Каберне совиньон,Бочка,14.0,17.0,0,0,unknown,0
0.75,Дом Захарьиных,1462.0,1828.0,Тихое,Красное,Сухое,Россия,Крым,Крым ЗГУ,Дом Захарьиных,ЗГУ,БастардоКефесия,Бочка,12.0,17.0,0,0,unknown,0
0.75,Mare Magnum,1538.0,1923.0,Тихое,Красное,Полусухое,США,Калифорния,unknown,Mare Magnum,unknown,Зинфандель,Бочка,14.0,17.0,0,0,unknown,0
0.75,Inama,3046.0,3808.0,Тихое,Белое,Сухое,Италия,Венето,Veneto IGT,Inama,IGT/IGP,Совиньон блан,Стальной чан,13.5,9.0,0,0,unknown,0
0.75,unknown,927.0,1685.0,Тихое,Белое,Сухое,Россия,Крым,unknown,Сатера,unknown,Ркацители,Бочка,12.5,11.0,0,0,unknown,0
0.75,Askaneli,886.0,1265.0,Тихое,Белое,Сухое,Грузия,Кахетия,Манави,Askaneli,unknown,Кахури мцванеРкацители,unknown,13.0,11.0,0,0,2023,0
0.75,Finca Beltran,1393.0,1990.0,Тихое,Красное,Сухое,Аргентина,Мендоса,Mendoza,Finca Beltran,unknown,Пино нуар,Стальной чан,13.5,17.0,0,0,2023,0
0.75,Olymp Winery,539.0,539.0,Тихое,Красное,Сухое,Россия,Краснодарский край,unknown,Olymp Winery,unknown,Саперави,unknown,11.0,15.0,0,0,unknown,0
0.75,Winery Despotika,4490.0,4490.0,Тихое,Красное,Сухое,Сербия,Сумадия,unknown,Winery Despotika,unknown,Прокупац,Бочка,14.0,17.0,0,0,2021,0
0.75,Argiano,17404.0,17404.0,Тихое,Красное,Сухое,Италия,Тоскана,Toscana IGT,Argiano,IGT/IGP,Каберне совиньонПти вердоМерлоСанджовезе,Бочка,14.5,17.0,0,0,unknown,0
0.75,unknown,2475.0,2475.0,Тихое,Красное,Сухое,Италия,Сардиния,Cannonau di Sardegna DOC,Enoitalia,DOC/DOP,Каннонау,Стальной чан,14.0,17.0,0,0,2019,0
0.75,Chateau Mukhrani,1654.0,2067.0,Тихое,Розовое,Сухое,Грузия,Квемо-Картли,unknown,Chateau Mukhrani,unknown,Тавквери,Стальной чан,12.0,11.0,0,0,unknown,0
